City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,kailua-kona,19.6406,-155.9956,298.56,78,100,4.63,US,1714705174
171,nelson bay,-32.7167,152.15,292.61,76,84,0.89,AU,1714705174
172,keren,15.7778,38.4581,293.14,75,0,2.55,ER,1714705174
173,bichura,50.5881,107.6022,284.18,45,100,4.81,RU,1714705174
174,jiujiang,29.7333,115.9833,292.99,68,100,3.12,CN,1714705174
175,benguela,-12.5763,13.4055,297.82,79,100,1.06,AO,1714705175
176,wenling,28.3669,121.36,292.16,75,70,3.05,CN,1714705175
177,bredasdorp,-34.5322,20.0403,287.95,76,53,1.02,ZA,1714705175
178,east london,-33.0153,27.9116,293.68,51,0,4.38,ZA,1714705175
179,sassandra,4.95,-6.0833,299.63,88,100,1.57,CI,1714705175
180,kodiak,57.79,-152.4072,278.88,87,100,3.09,US,1714705175
181,klyuchi,52.2667,79.1667,280.14,84,48,4.67,RU,1714705175
182,sinabang,2.4803,96.3801,302.58,74,77,1.18,ID,1714705176
183,thompson,55.7435,-97.8558,277.24,87,75,1.54,CA,1714705176
184,lompoc,34.6391,-120.4579,285.24,83,0,7.2,US,1714705176
185,yambio,4.5721,28.3955,292.83,96,100,1.91,SS,1714705176
186,constantia,44.1833,28.65,283.53,87,100,3.96,RO,1714704908
187,taquarana,-9.645,-36.4972,295.4,96,11,1.2,BR,1714705176
188,papao,-17.75,-149.55,301.97,81,78,9.95,PF,1714705176
189,norilsk,69.3535,88.2027,263.54,86,100,4.11,RU,1714705177
190,hermanus,-34.4187,19.2345,290.26,68,80,1.2,ZA,1714705177
191,chonchi,-42.6128,-73.8092,280.99,93,99,1.52,CL,1714705177
192,arboletes,8.8505,-76.4269,300.2,86,100,2.88,CO,1714705177
193,mount pearl,47.5166,-52.7813,275.64,97,100,4.12,CA,1714705177
194,kingston,17.997,-76.7936,298.68,89,75,3.09,JM,1714705177
195,at taj,24.2049,23.2857,298.24,26,6,3.07,LY,1714705177
196,tralee,52.2704,-9.7026,281.37,97,100,1.73,IE,1714705177
197,chos malal,-37.3781,-70.2709,279.39,43,0,2.33,AR,1714705178
198,kenai,60.5544,-151.2583,282.17,59,100,6.17,US,1714705178
199,arendal,58.4615,8.7725,285.04,56,100,7.36,NO,1714705178
200,camarinas,43.1311,-9.1817,283.67,84,84,7.97,ES,1714705178
201,san patricio,28.017,-97.5169,298.8,90,100,4.6,US,1714705178
202,naze,28.3667,129.4833,294.66,78,64,3.03,JP,1714704908
203,buala,-8.145,159.5921,301.68,82,95,3.13,SB,1714705178
204,kerikeri,-35.2268,173.9474,291.99,70,95,2.33,NZ,1714705179
205,praia da vitoria,38.7333,-27.0667,290.29,82,75,4.14,PT,1714705179
206,gadzhiyevo,69.2551,33.3362,265.18,92,60,1.4,RU,1714705179
207,san matias,-16.3667,-58.4,299.68,61,42,2.53,BO,1714705179
208,houghton,47.1219,-88.569,277.88,97,100,5.66,US,1714705123
209,gunjur,13.2019,-16.7339,298.19,61,0,2.06,GM,1714705179
210,nakamura,32.9833,132.9333,292.73,77,100,3.09,JP,1714705179
211,namibe,-15.1961,12.1522,296.74,75,75,0.2,AO,1714705180
212,dudinka,69.4058,86.1778,263.07,92,100,7.06,RU,1714705180
213,arraial do cabo,-22.9661,-42.0278,297.08,90,0,6.04,BR,1714705156
214,codrington,-38.2667,141.9667,290.12,56,1,4.08,AU,1714705181
215,dunedin,-45.8742,170.5036,284.15,78,99,2.68,NZ,1714705181
216,tan-tan,28.438,-11.1032,287.97,89,7,3.75,MA,1714705181
217,inverell,-29.7833,151.1167,295.07,53,9,3.58,AU,1714705181
218,nouadhibou,20.931,-17.0347,292.14,72,0,6.69,MR,1714705181
219,revda,56.801,59.9303,275.6,70,100,2.14,RU,1714705181
220,alice springs,-23.7,133.8833,292.9,28,0,5.14,AU,1714705182
221,talnakh,69.4865,88.3972,262.94,91,100,4.91,RU,1714704912
222,kalach,50.4258,41.0261,281.9,80,54,4.15,RU,1714705182
223,dingcheng,32.1272,115.0394,290.32,59,100,5.26,CN,1714705182
224,laurel,39.0993,-76.8483,294.72,69,0,0.0,US,1714704903
225,ananindeua,-1.3656,-48.3722,299.1,94,0,2.06,BR,1714705041
226,san felice circeo,41.2372,13.0942,286.22,10,15,7.58,IT,1714705182
227,mokhsogollokh,61.4681,128.9203,276.39,83,100,2.78,RU,1714705182
228,longyearbyen,78.2186,15.6401,263.01,84,15,1.67,SJ,1714705183
229,san antonio de pale,-1.4014,5.6325,300.86,82,96,5.18,GQ,1714705183
230,darwin,-12.4611,130.8418,305.02,45,0,7.72,AU,1714705183
231,lityn,49.3251,28.0809,283.95,70,34,1.41,UA,1714705183
232,akjoujt,19.6969,-14.4164,298.68,10,0,4.84,MR,1714705183
233,alofi,-19.0595,-169.9187,302.09,79,40,4.63,NU,1714705183
234,sao jose de piranhas,-7.1206,-38.5019,295.54,92,100,1.64,BR,1714705183
235,uturoa,-16.7333,-151.4333,300.99,70,71,9.0,PF,1714705184
236,aginskoye,51.1,114.53,286.48,27,90,5.9,RU,1714705184
237,kasongo-lunda,-6.4667,16.8167,293.1,80,9,0.99,CD,1714705184
238,ghat,24.9647,10.1728,298.28,41,46,2.11,LY,1714705184
239,nogliki,51.8333,143.1667,275.01,71,100,3.58,RU,1714705184
240,north battleford,52.7834,-108.2847,276.2,87,100,5.66,CA,1714705184
241,san pedro,14.35,121.0167,305.47,63,40,4.12,PH,1714705184
242,wotje,9.4543,170.2367,300.82,82,100,9.39,MH,1714705185
